"stratum","zoekzone","polygon_id","volgorde_zoekzone","volgorde_element","selectelement","geom"
"klein","Z0021","LIMTES0032","130","1","false","[object Object]"
"klein","Z0010","LIMHAS0480","131","1","false","[object Object]"
"klein","Z0124","LIMZNH0478","132","1","false","[object Object]"
"klein","Z0124","LIMZNH0012","132","2","false","[object Object]"
"klein","Z0111","LIMHHE0136","133","1","false","[object Object]"
"klein","Z0054","ANTKAS0299","134","1","false","[object Object]"
"klein","Z0037","ANTGEE1017","135","1","false","[object Object]"
"klein","Z0003","LIMDPB0177","136","1","false","[object Object]"
"klein","Z0003","LIMDPB0166","136","2","false","[object Object]"
"klein","Z0040","ANTMOL0551","137","1","false","[object Object]"
"klein","Z0032","ANTGEE0970","138","1","false","[object Object]"
"klein","Z0063","ANTWUU0191","139","1","false","[object Object]"
"klein","Z0063","ANTWUU0176","139","2","false","[object Object]"
"klein","Z0151","LIMMGR0259","140","1","false","[object Object]"
"klein","Z0078","ANTBAA0055","141","1","false","[object Object]"
"klein","Z0034","ANTOLE0015","142","1","false","[object Object]"
"klein","Z0075","ANTMRK0266","143","1","false","[object Object]"
"klein","Z0072","ANTKAL0283","144","1","false","[object Object]"
"klein","Z0072","ANTKAL0320","144","2","false","[object Object]"
"klein","Z0099","wnm_id_156258084","145","1","false","[object Object]"
"klein","Z0088","LIMHHE0112","146","1","false","[object Object]"
"klein","Z0055","wnm_id_86946127","147","1","false","[object Object]"
"klein","Z0129","ANTOTH0271","148","1","false","[object Object]"
"klein","Z0130","ANTKAL0279","149","1","false","[object Object]"
"klein","Z0020","LIMAS00059","150","1","false","[object Object]"
"klein","Z0108","ANTHGS0665","151","1","false","[object Object]"
"klein","Z0108","ANTHGS0010","151","2","false","[object Object]"
"klein","Z0138","ANTBAA0044","152","1","false","[object Object]"
"klein","Z0138","ANTBAA0047","152","2","false","[object Object]"
"klein","Z0102","ANTTUR0077","153","1","false","[object Object]"
"klein","Z0123","ANTBAA0037","154","1","false","[object Object]"
"klein","Z0041","ANTKAS0443","155","1","false","[object Object]"
"klein","Z0069","ANTTUR0301","156","1","false","[object Object]"
"klein","Z0044","WVLDAM0084","157","1","false","[object Object]"
"klein","Z0057","LIMHMA0124","158","1","false","[object Object]"
"klein","Z0071","ANTRAV0188","159","1","false","[object Object]"
"klein","Z0146","ANTHGS0605","160","1","false","[object Object]"
"klein","Z0146","ANTHGS0459","160","2","false","[object Object]"
"klein","Z0134","LIMHHE0316","161","1","false","[object Object]"
"klein","Z0042","ANTKAS0407","1","2","false","[object Object]"
"klein","Z0122","ANTKAL0271","2","2","false","[object Object]"
"klein","Z0085","LIMHVL0121","4","3","false","[object Object]"
"klein","Z0085","LIMHVL0150","4","4","false","[object Object]"
"klein","Z0085","LIMHVL0123","4","5","false","[object Object]"
"klein","Z0107","ANTHGS0374","5","2","false","[object Object]"
"klein","Z0119","ANTOTH0106","6","2","false","[object Object]"
"klein","Z0119","ANTOTH0328","6","3","false","[object Object]"
"klein","Z0050","ANTMOL0562","7","3","false","[object Object]"
"klein","Z0050","ANTMOL0043","7","4","false","[object Object]"
"klein","Z0050","ANTMOL0570","7","5","false","[object Object]"
"klein","Z0035","ANTKAS0017","8","3","false","[object Object]"
"klein","Z0035","ANTKAS0008","8","4","false","[object Object]"
"klein","Z0137","ANTKAL0330","9","2","false","[object Object]"
"klein","Z0100","ANTBCT0087","10","2","false","[object Object]"
"klein","Z0100","ANTBCT0038","10","3","false","[object Object]"
"klein","Z0103","ANTKAL0233","11","3","false","[object Object]"
"klein","Z0103","ANTKAL0232","11","4","false","[object Object]"
"klein","Z0103","ANTKAL0260","11","5","false","[object Object]"
"klein","Z0103","ANTKAL0259","11","6","false","[object Object]"
"klein","Z0103","ANTKAL0248","11","7","false","[object Object]"
"klein","Z0103","ANTKAL0258","11","8","false","[object Object]"
"klein","Z0086","LIMMSM0198","14","2","false","[object Object]"
"klein","Z0139","LIMHHE0330","15","2","false","[object Object]"
"klein","Z0139","LIMHHE0322","15","3","false","[object Object]"
"groot","Z0109","LIMZNH0218","16","4","false","[object Object]"
"groot","Z0109","LIMZNH0400","16","5","false","[object Object]"
"groot","Z0109","LIMZNH0056","16","6","false","[object Object]"
"groot","Z0109","LIMZNH0006","16","7","false","[object Object]"
"groot","Z0109","LIMZNH0039","16","8","false","[object Object]"
"groot","Z0109","LIMZNH0185","16","9","false","[object Object]"
"groot","Z0109","LIMZNH0392","16","10","false","[object Object]"
"groot","Z0109","LIMZNH0184","16","11","false","[object Object]"
"groot","Z0109","LIMZNH0466","16","12","false","[object Object]"
"groot","Z0109","LIMZNH0241","16","13","false","[object Object]"
"groot","Z0109","LIMZNH0177","16","14","false","[object Object]"
"groot","Z0109","LIMZNH0048","16","15","false","[object Object]"
"klein","Z0081","ANTRAV0370","17","2","false","[object Object]"
"klein","Z0150","ANTHGS0569","19","3","false","[object Object]"
"klein","Z0150","ANTHGS0519","19","4","false","[object Object]"
"klein","Z0150","ANTHGS0465","19","5","false","[object Object]"
"klein","Z0125","LIMZNH0379","20","2","false","[object Object]"
"klein","Z0082","ANTHGS0033","22","3","false","[object Object]"
