provincie;locatie;geschikt;meetnetten;selectie;volgorde_cluster;volgorde_element;aantal;aantal_larven_totaal;aandeel_larven_poelkikker;datum_dna_cyclus1;x;y
Antwerpen;Klein Schietveld - ANTKAL0233;TRUE;FALSE;reserve;11;3;NA;NA;NA;NA;158962,7870135242;227711,018264348
Antwerpen;Klein Schietveld - ANTKAL0232;TRUE;FALSE;reserve;11;4;NA;NA;NA;NA;159006,9295371714;227630,266527234
Antwerpen;Klein Schietveld - ANTKAL0260;TRUE;FALSE;reserve;11;5;NA;NA;NA;NA;158498,0900040425;228148,865979374
Antwerpen;Klein Schietveld - ANTKAL0259;TRUE;FALSE;reserve;11;6;NA;NA;NA;NA;158373,5713350796;228258,786732080
Antwerpen;Klein Schietveld - ANTKAL0248;TRUE;FALSE;reserve;11;7;NA;NA;NA;NA;158538,7444299880;227899,735102048
Antwerpen;Klein Schietveld - ANTKAL0258;TRUE;FALSE;reserve;11;8;NA;NA;NA;NA;158455,2698603448;228396,886976997
Antwerpen;Poppel - Poel 1;TRUE;TRUE;steekproef;17;1;11;12;92;2023-07-04;198918,3324536411;238832,224418777
Antwerpen;Poppel - ANTRAV0370;TRUE;FALSE;reserve;17;2;NA;NA;NA;NA;198918,2633569952;238799,629596817
Antwerpen;Heiberg - Poel 1;TRUE;TRUE;steekproef;18;1;34;45;76;2021-07-07;184147,8491715645;210808,517624225
Antwerpen;Wortel Kolonie - Poel 7;TRUE;TRUE;steekproef;19;1;24;45;56;2021-07-04;182419,7466851468;233808,839699309
Antwerpen;Wortel Kolonie - Poel 6;TRUE;TRUE;steekproef;19;2;13;45;4;2021-07-04;182072,7567581185;233391,545396559
Antwerpen;Wortel Kolonie - ANTHGS0569;TRUE;FALSE;reserve;19;3;NA;NA;NA;NA;182546,4223524033;233669,718393665
Antwerpen;Wortel Kolonie - ANTHGS0519;TRUE;FALSE;reserve;19;4;NA;NA;NA;NA;182297,1602039048;233094,351973552
Antwerpen;Wortel Kolonie - ANTHGS0465;TRUE;FALSE;reserve;19;5;NA;NA;NA;NA;182609,6333484214;233866,437770777
Antwerpen;Winkelsbroek - Poel 1;FALSE;TRUE;reserve;21;1;0;0;NA;2021-07-07;190195,0520019137;218458,187775454
Antwerpen;Elsakker - Poel 1;TRUE;TRUE;steekproef;22;1;4;50;8;2022-07-06;180611,1947376574;242141,677469111
Antwerpen;Elsakker - Poel 2;TRUE;TRUE;reserve;22;2;25;50;50;2022-07-06;180444,0966560303;241681,451590387
Antwerpen;Elsakker - ANTHGS0033;TRUE;FALSE;reserve;22;3;NA;NA;NA;NA;180672,7216029560;241703,987981650
Antwerpen;Elsakker - ANTHGS0029;TRUE;FALSE;reserve;22;4;NA;NA;NA;NA;180284,0729738320;242274,210041994
Antwerpen;Elsakker - ANTHGS0006;TRUE;FALSE;reserve;22;5;NA;NA;NA;NA;180253,6451541267;242249,079325744
Antwerpen;Rijmenam - Poel 1;TRUE;TRUE;steekproef;23;1;17;50;34;2022-07-11;165687,6882818611;188894,595316200
Antwerpen;Groot Schietveld zuid - Poel 9;TRUE;TRUE;reserve;24;1;1;8;13;2023-07-14;162425,6786000307;225314,351801463
Antwerpen;Maxburg - Poel 1;FALSE;TRUE;reserve;25;1;0;0;NA;2022-07-06;171449,4662316709;237597,914395780
Antwerpen;Maxburg - ANTHGS0157;TRUE;FALSE;reserve;25;2;NA;NA;NA;NA;171249,7943611151;237415,118466893
Antwerpen;Groot Schietveld oost - Poel 12;TRUE;TRUE;reserve;28;1;NA;NA;NA;NA;164439,2746873177;227082,406648894
Antwerpen;Groot Schietveld oost - Poel 13;TRUE;TRUE;reserve;28;2;NA;NA;NA;NA;164081,2976531981;227626,871850028
Antwerpen;Groot Schietveld oost - ANTBCT0126;TRUE;FALSE;reserve;28;3;NA;NA;NA;NA;164729,7231670713;227353,452307363
Antwerpen;Groot Schietveld oost - ANTBCT0035;TRUE;FALSE;reserve;28;4;NA;NA;NA;NA;164387,0774749758;227482,829215949
Antwerpen;Groot Schietveld oost - ANTBCT0063;TRUE;FALSE;reserve;28;5;NA;NA;NA;NA;164131,5493955203;227627,173132856
Antwerpen;Zondereigen - Poel 1;TRUE;TRUE;reserve;29;1;37;46;80;2021-07-07;187110,6893088009;232227,881670067
Antwerpen;Buitengoor - Poel 1;FALSE;TRUE;reserve;30;1;0;50;0;2023-07-05;206598,8817129046;212216,824262959
Antwerpen;Putse Moer;TRUE;TRUE;reserve;35;1;25;50;50;2021-07-27;154333,1470789453;230184,216589222
Antwerpen;Tielenheide - Poel 1;FALSE;TRUE;reserve;38;1;0;0;NA;2021-07-07;188389,6469887036;219412,136028128
Antwerpen;Tielenheide - ANTTUR0359;TRUE;FALSE;reserve;38;2;NA;NA;NA;NA;188397,3196572426;219327,087255986
Antwerpen;Groot Schietveld zuid - Poel 7;FALSE;TRUE;reserve;40;1;0;0;NA;2023-07-14;163152,0962182567;225223,445349060
Antwerpen;Groot Schietveld zuid - Poel 8;TRUE;TRUE;reserve;40;2;NA;NA;NA;2022-07-05;163440,6178288625;225948,630124024
Antwerpen;Groot Schietveld zuid - ANTBCT0447;TRUE;FALSE;reserve;40;3;NA;NA;NA;NA;163503,9054080319;225853,216376991
Antwerpen;Groot Schietveld zuid - ANTBCT0289;TRUE;FALSE;reserve;40;4;NA;NA;NA;NA;163675,1768690899;225661,863996646
Antwerpen;Groot Schietveld zuid - ANTBCT0200;TRUE;FALSE;reserve;40;5;NA;NA;NA;NA;162602,5126491045;225399,963456086
Antwerpen;Groot Schietveld zuid - ANTBCT0322;TRUE;FALSE;reserve;40;6;NA;NA;NA;NA;163089,3519781233;225125,692908409
Antwerpen;Groot Schietveld zuid - ANTBCT0458;TRUE;FALSE;reserve;40;7;NA;NA;NA;NA;163213,9156913508;225186,147241135
Antwerpen;Blakheide - Poel 1;FALSE;TRUE;reserve;41;1;0;0;NA;2023-07-04;181459,0432262020;226668,340029224
Antwerpen;Blakheide - ANTMRK0011;TRUE;FALSE;reserve;41;2;NA;NA;NA;NA;181620,1919040749;226712,087372686
Antwerpen;Merkske - Poel 1;TRUE;TRUE;reserve;42;1;7;45;16;2021-07-04;183506,9111210306;233840,835390492
Antwerpen;Merkske - ANTBAA0015;TRUE;FALSE;reserve;42;2;NA;NA;NA;NA;183765,3054235932;233799,678881797
Antwerpen;Turnhouts Vennengebied - Poel 4;TRUE;TRUE;reserve;44;1;5;45;11;2021-07-07;188293,2256356874;228082,838838123
Antwerpen;Turnhouts Vennengebied - ANTMRK0254;TRUE;FALSE;reserve;44;2;NA;NA;NA;NA;188329,2119499436;228118,208080952
Antwerpen;Turnhouts Vennengebied - ANTTUR0305;TRUE;FALSE;reserve;44;3;NA;NA;NA;NA;188779,4231298926;227825,431514474
Antwerpen;Rode Del - Poel 1;TRUE;TRUE;reserve;45;1;1;50;2;2022-07-06;202501,6048773656;224534,181569159
Limburg;Terlamen - Poel 2;TRUE;TRUE;steekproef;4;1;35;50;70;2022-07-14;215119,2951213976;188591,587880636
Limburg;Terlamen - Poel 3;TRUE;TRUE;steekproef;4;2;20;50;40;2022-07-14;215018,3538506743;188745,836414223
Limburg;Terlamen - LIMHVL0121;TRUE;FALSE;reserve;4;3;NA;NA;NA;NA;215091,0662253403;188478,881749790
Limburg;Terlamen - LIMHVL0150;TRUE;FALSE;reserve;4;4;NA;NA;NA;NA;215035,4760008891;188547,440031512
Limburg;Terlamen - LIMHVL0123;TRUE;FALSE;reserve;4;5;NA;NA;NA;NA;214530,1936623354;188458,463157115
Limburg;Gaarvijver - Poel 1;FALSE;TRUE;reserve;13;1;0;8;0;2023-07-07;239037,8779947899;181093,502020518
Limburg;Mechelse Heide - Poel 1;TRUE;TRUE;steekproef;14;1;NA;NA;NA;NA;237169,5140555545;185959,396646108
Limburg;Mechelse Heide - LIMMSM0198;TRUE;FALSE;reserve;14;2;NA;NA;NA;NA;237249,5738293473;185736,845788074
Limburg;Huttebeek - Poel 1;TRUE;TRUE;steekproef;15;1;NA;NA;NA;NA;224148,4479217347;190920,756490078
Limburg;Huttebeek - LIMHHE0330;TRUE;FALSE;reserve;15;2;NA;NA;NA;NA;224202,7748442960;190949,823700697
Limburg;Huttebeek - LIMHHE0322;TRUE;FALSE;reserve;15;3;NA;NA;NA;NA;224383,0992929040;190853,720716482
Limburg;Wijvenheide - Poel 5;TRUE;TRUE;steekproef;16;1;18;50;36;2022-08-03;216772,6012866639;187747,255238553
Limburg;Wijvenheide - Poel 2;FALSE;TRUE;reserve;16;2;0;30;0;2022-08-03;216025,8345762602;187437,250593063
Limburg;Wijvenheide - Poel 8;FALSE;TRUE;reserve;16;3;0;0;NA;2022-08-03;216371,1943388233;187408,138151686
Limburg;Wijvenheide - LIMZNH0218;TRUE;FALSE;reserve;16;4;NA;NA;NA;NA;216165,8216225775;187151,425137130
Limburg;Wijvenheide - LIMZNH0400;TRUE;FALSE;reserve;16;5;NA;NA;NA;NA;216495,1655214685;187779,764211628
Limburg;Wijvenheide - LIMZNH0056;TRUE;FALSE;reserve;16;6;NA;NA;NA;NA;216253,1498336921;187151,955120492
Limburg;Wijvenheide - LIMZNH0006;TRUE;FALSE;reserve;16;7;NA;NA;NA;NA;216273,4149881498;187252,661354972
Limburg;Wijvenheide - LIMZNH0039;TRUE;FALSE;reserve;16;8;NA;NA;NA;NA;216185,3102528064;187105,060456692
Limburg;Wijvenheide - LIMZNH0185;TRUE;FALSE;reserve;16;9;NA;NA;NA;NA;216144,7480134081;187527,821382733
Limburg;Wijvenheide - LIMZNH0392;TRUE;FALSE;reserve;16;10;NA;NA;NA;NA;216458,9597390663;187830,985799569
Limburg;Wijvenheide - LIMZNH0184;TRUE;FALSE;reserve;16;11;NA;NA;NA;NA;216824,8312943666;187540,079882860
Limburg;Wijvenheide - LIMZNH0466;TRUE;FALSE;reserve;16;12;NA;NA;NA;NA;216560,9210782073;187593,026323633
Limburg;Wijvenheide - LIMZNH0241;TRUE;FALSE;reserve;16;13;NA;NA;NA;NA;216149,0244938317;187570,249392979
Limburg;Wijvenheide - LIMZNH0177;TRUE;FALSE;reserve;16;14;NA;NA;NA;NA;216220,3800284957;187127,454200430
Limburg;Wijvenheide - LIMZNH0048;TRUE;FALSE;reserve;16;15;NA;NA;NA;NA;216089,4427763557;187485,154264448
Limburg;Molenheide - Poel 1;TRUE;TRUE;steekproef;20;1;NA;NA;NA;NA;225516,8265468926;188335,201110990
Limburg;Molenheide - LIMZNH0379;TRUE;FALSE;reserve;20;2;NA;NA;NA;NA;225321,6488096578;188367,033087307
Limburg;De Maten - Poel 1;FALSE;TRUE;reserve;26;1;0;0;NA;2022-08-03;225457,3527559476;183049,615631817
Limburg;De Maten - LIMGNK0182;TRUE;FALSE;reserve;26;2;NA;NA;NA;NA;226244,7763808094;183122,791688803
Limburg;De Maten - LIMGNK0384;TRUE;FALSE;reserve;26;3;NA;NA;NA;NA;225719,7302787564;182586,129851939
Limburg;De Teut - Poel 1;TRUE;TRUE;steekproef;27;1;NA;NA;NA;NA;223297,2754643959;188388,180346327
Limburg;De Teut - Poel 2;TRUE;TRUE;steekproef;27;2;NA;NA;NA;NA;223399,1514807769;188445,460971824
Limburg;De Teut - LIMZNH0447;TRUE;FALSE;reserve;27;3;NA;NA;NA;NA;223262,5750724924;188375,345618261
Limburg;De Teut - LIMZNH0366;TRUE;FALSE;reserve;27;4;NA;NA;NA;NA;222945,1782586068;188103,399798632
Limburg;De Teut - LIMZNH0315;TRUE;FALSE;reserve;27;5;NA;NA;NA;NA;223239,1124880492;188303,825135878
Limburg;De Teut - LIMZNH0318;TRUE;FALSE;reserve;27;6;NA;NA;NA;NA;223489,6418844046;188576,198823247
Limburg;De Teut - LIMZNH0333;TRUE;FALSE;reserve;27;7;NA;NA;NA;NA;223344,7992278574;188401,214684889
Limburg;Heuvelsven - Poel 1;TRUE;TRUE;steekproef;31;1;16;50;32;2023-07-10;239705,7270551028;190489,735000994
Limburg;Heuvelsven - LIMDST0215;TRUE;FALSE;reserve;31;2;NA;NA;NA;NA;240107,9118358051;189993,619888754
Limburg;Heuvelsven - LIMDST0118;TRUE;FALSE;reserve;31;3;NA;NA;NA;NA;239665,4555347808;190369,250135527
Limburg;Campstraat - Poel 1;TRUE;TRUE;steekproef;32;1;NA;NA;NA;NA;234781,6837911839;195726,534577493
Limburg;Hageven zuid - Poel 1;FALSE;TRUE;reserve;33;1;0;0;NA;2022-07-06;223006,2050967962;216328,849103654
Limburg;Tommelen - Poel 7;TRUE;TRUE;reserve;34;1;NA;NA;NA;NA;216115,5229234097;180787,712738413
Limburg;Tommelen - Poel 8;FALSE;TRUE;reserve;34;2;0;0;NA;2022-07-06;216110,5782974020;180848,941132883
Limburg;Tommelen - Poel 9;FALSE;TRUE;reserve;34;3;0;0;NA;2022-07-06;216112,3006500523;180755,315333741
Limburg;Tommelen - LIMHAS0751;TRUE;FALSE;reserve;34;7;NA;NA;NA;NA;216124,6257542658;180821,637370567
Limburg;Tommelen - LIMHAS0231;TRUE;FALSE;reserve;34;8;NA;NA;NA;NA;216053,9999594208;180773,662575758
Limburg;Tommelen - LIMHAS0254;TRUE;FALSE;reserve;34;9;NA;NA;NA;NA;216094,8880991234;180818,027972090
Limburg;Tommelen - LIMHAS0092;TRUE;FALSE;reserve;34;10;NA;NA;NA;NA;216101,1897796725;180781,746982139
Limburg;Ven Onder de Berg;TRUE;TRUE;reserve;36;1;3;6;50;2023-07-03;241070,5379701440;185363,532640237
Limburg;Ruiterskuilen - Poel 2;TRUE;TRUE;reserve;37;1;NA;NA;NA;NA;232352,3891888247;193786,157720406
Limburg;Ruiterskuilen - LIMOPG0020;TRUE;FALSE;reserve;37;2;NA;NA;NA;NA;231820,1183912550;193822,969882468
Limburg;Stroopven - Poel 1;TRUE;TRUE;reserve;43;1;NA;NA;NA;NA;224224,9352726593;194783,711050797
Limburg;Neeroeteren - Poel 1;TRUE;TRUE;reserve;46;1;1;33;3;2023-07-10;246161,6765816024;198996,216254905
Limburg;Averbode - Poel 1;TRUE;TRUE;steekproef;NA;NA;3;50;6;2022-07-11;194185,5326732765;191783,570907147
West-Vlaanderen;Vloethemveld - Poel 1;FALSE;TRUE;reserve;39;1;NA;NA;NA;NA;61543,6213202401;205062,549426694
West-Vlaanderen;Heideveld-Bornebeek - Poel 1;TRUE;TRUE;steekproef;66;1;5;15;33;2021-07-08;74106,3121521560;200650,229129267
West-Vlaanderen;Heideveld-Bornebeek - Poel 2;FALSE;TRUE;reserve;66;2;0;0;NA;2021-07-08;74798,7422173290;200232,273714411
West-Vlaanderen;Heideveld-Bornebeek - WVLBRN0422;TRUE;FALSE;reserve;66;4;NA;NA;NA;NA;74557,0768602011;200470,707830482
West-Vlaanderen;Heideveld-Bornebeek - WVLOSK0273;TRUE;FALSE;reserve;66;5;NA;NA;NA;NA;74259,1941859602;200464,287267365
West-Vlaanderen;Hertsberge - WVLOSK0085;TRUE;FALSE;reserve;78;2;NA;NA;NA;NA;73954,3458271653;199955,295632312
West-Vlaanderen;Hertsberge - WVLOSK0075;TRUE;FALSE;reserve;78;3;NA;NA;NA;NA;73630,3742296786;199973,391598009
West-Vlaanderen;Aanwijsputten - Poel 1;TRUE;TRUE;steekproef;79;1;50;50;100;2021-07-08;75790,0500992081;200635,551544519
West-Vlaanderen;Aanwijsputten - Poel 2;TRUE;TRUE;steekproef;79;2;29;45;66;2021-07-08;75758,2603741300;200458,019588156
West-Vlaanderen;Aanwijsputten - WVLBRN0192;TRUE;FALSE;reserve;79;3;NA;NA;NA;NA;75736,3058644704;200623,577022759
West-Vlaanderen;Aanwijsputten - WVLBRN0413;TRUE;FALSE;reserve;79;4;NA;NA;NA;NA;75625,5572157785;200591,185557227
West-Vlaanderen;Aanwijsputten - WVLBRN0145;TRUE;FALSE;reserve;79;5;NA;NA;NA;NA;75661,8381680848;200435,243314417
West-Vlaanderen;Oostkerke zuid - Poel 1;FALSE;TRUE;reserve;80;1;0;0;NA;2023-06-27;75114,4262016005;218358,182607033
West-Vlaanderen;Oostkerke zuid - WVLDAM0220;TRUE;FALSE;reserve;80;2;NA;NA;NA;NA;74869,8456641955;219271,170694464
West-Vlaanderen;Heitegemstraat - Poel 1;FALSE;TRUE;reserve;100;1;NA;NA;NA;NA;74005,4531386334;219871,619397416
West-Vlaanderen;De Blankaart - Poel 2;FALSE;TRUE;reserve;103;2;0;8;0;2023-07-08;44527,9806710546;187212,126562536
West-Vlaanderen;De Blankaart - WVLDIK0774;TRUE;FALSE;reserve;103;3;NA;NA;NA;NA;44563,6880002239;187174,118968279
West-Vlaanderen;Stadswallen Damme oost - Poel 1;TRUE;TRUE;steekproef;120;1;9;50;18;2023-06-27;73923,4813447558;215831,764531772
West-Vlaanderen;Oostkerke noord - Poel 1;TRUE;TRUE;reserve;123;1;36;50;72;2023-06-27;76020,5452981515;220634,647359350
West-Vlaanderen;Oostkerke noord - WVLDAM0420;TRUE;FALSE;reserve;123;2;NA;NA;NA;NA;75846,2443291953;220656,056696848
West-Vlaanderen;Oostkerke noord - WVLDAM0196;TRUE;FALSE;reserve;123;3;NA;NA;NA;NA;75857,9918910215;220782,394326788
West-Vlaanderen;Stadswallen Damme west - Poel 1;TRUE;TRUE;reserve;157;1;32;50;64;2023-06-27;73783,4328708553;216496,962574041
West-Vlaanderen;Stadswallen Damme west - WVLDAM0090;TRUE;FALSE;reserve;157;2;NA;NA;NA;NA;73693,9030567195;216282,081836985
West-Vlaanderen;Stadswallen Damme west - WVLDAM0075;TRUE;FALSE;reserve;157;3;NA;NA;NA;NA;73667,4144785057;216032,912135579
