provincie;locatie;geschikt;meetnetten;selectie;volgorde_cluster;volgorde_element;aantal;aantal_larven_totaal;aandeel_larven_poelkikker;datum_dna_cyclus1;x;y
Antwerpen;Kasterlee - Poel 1;TRUE;TRUE;steekproef;1;1;NA;NA;NA;NA;190487,4739782983;214963,881630805
Antwerpen;Kasterlee - ANTKAS0407;TRUE;FALSE;reserve;1;2;NA;NA;NA;NA;189580,0463763230;214933,743093327
Antwerpen;Kalmthoutse Heide zuid - Poel 1;FALSE;TRUE;reserve;2;1;50;50;100;2021-07-27;155258,3588139811;229725,807184295
Antwerpen;Kalmthoutse Heide zuid - ANTKAL0271;TRUE;FALSE;reserve;2;2;NA;NA;NA;NA;154939,0825956541;229487,688080712
Antwerpen;Retiesebaan - Poel 1;TRUE;TRUE;steekproef;3;1;25;37;68;2023-07-04;196033,7204332248;216194,611475382
Antwerpen;Halsche Beemden - Poel 1;TRUE;TRUE;steekproef;5;1;2;6;33;2021-07-04;181477,2997440714;234995,893863151
Antwerpen;Halsche Beemden - ANTHGS0374;TRUE;FALSE;reserve;5;2;NA;NA;NA;NA;181463,1640931274;235102,466359194
Antwerpen;De Liereman west - Poel 2;TRUE;TRUE;steekproef;6;1;13;45;29;2021-07-07;194020,0166229144;225597,385218727
Antwerpen;De Liereman west - ANTOTH0106;TRUE;FALSE;reserve;6;2;NA;NA;NA;NA;194607,9294343328;225140,798556283
Antwerpen;De Liereman west - ANTOTH0328;TRUE;FALSE;reserve;6;3;NA;NA;NA;NA;194118,0877954970;225270,115820389
Antwerpen;Postel - Poel 1;TRUE;TRUE;steekproef;7;1;NA;NA;NA;NA;206751,5856708140;218119,301078792
Antwerpen;Postel - ANTMOL0562;TRUE;FALSE;reserve;7;3;NA;NA;NA;NA;206573,7025454447;218072,740797841
Antwerpen;Postel - ANTMOL0043;TRUE;FALSE;reserve;7;4;NA;NA;NA;NA;206262,5703158418;218020,540102872
Antwerpen;Postel - ANTMOL0570;TRUE;FALSE;reserve;7;5;NA;NA;NA;NA;205950,7535582150;217767,509665053
Antwerpen;Snepkensvijver Heiberg - Poel 5;TRUE;TRUE;steekproef;8;2;12;45;28;2021-07-07;185265,8644595323;209736,538722678
Antwerpen;Snepkensvijver Heiberg - ANTKAS0017;TRUE;FALSE;reserve;8;3;NA;NA;NA;NA;185557,1833839164;210295,146622267
Antwerpen;Snepkensvijver Heiberg - ANTKAS0008;TRUE;FALSE;reserve;8;4;NA;NA;NA;NA;186040,9703316198;210144,843969951
Antwerpen;Kalmthoutse Heide oost - Poel 2;FALSE;TRUE;reserve;9;1;NA;NA;NA;2021-07-27;154363,2213618704;232210,211479699
Antwerpen;Kalmthoutse Heide oost - Poel 1;TRUE;TRUE;steekproef;9;2;NA;NA;NA;NA;154972,4726680267;232528,846443892
Antwerpen;Groot Schietveld oost - Poel 11;TRUE;TRUE;steekproef;10;1;1;1;100;2022-07-05;165121,5800790968;226809,918240757
Antwerpen;Groot Schietveld oost - ANTBCT0087;TRUE;FALSE;reserve;10;2;NA;NA;NA;NA;164497,6378669106;226930,856952753
Antwerpen;Groot Schietveld oost - ANTBCT0038;TRUE;FALSE;reserve;10;3;NA;NA;NA;NA;164966,3486841479;227442,208828312
Antwerpen;Klein Schietveld - Poel 1;FALSE;TRUE;reserve;11;1;0;0;NA;2022-07-05;158702,7977154542;227918,052942473
Antwerpen;Klein Schietveld - Poel 2;TRUE;TRUE;steekproef;11;2;2;4;50;2022-07-05;159207,2093050516;228261,498301496
